RC1-after,,
wcA,DF,1stO Diff
2947.72,14.8,0.18
2947.84,14.73,-0.07
2947.99,14.75,0.02
2968.79,14.9,0.15
2968.93,14.85,-0.05
2969.08,14.8,-0.05
2994.52,14.99,0.19
2994.68,14.96,-0.03
2994.83,14.98,0.02
3016.87,15.1,0.12
3017.01,15.1,4.55E-13
3017.15,15.03,-0.07
3039.52,15.21,0.18
3039.66,15.16,-0.05
3039.82,15.2,0.04
3061.04,15.35100042,0.151000419
3063.71,15.37,0.018999581
3063.85,15.31,-0.06
3064,15.3,-0.01
3087.7,15.45,0.15
3087.85,15.41,-0.04
3088,15.37,-0.04
3112.39,15.54,0.17
3112.54,15.49,-0.05
3112.69,15.47,-0.02
3136.55,15.61,0.14
3136.68,15.54,-0.07
3136.84,15.57,0.03
3161.91,15.72,0.15
3162.07,15.69,-0.03
3162.19,15.64,-0.05
3184.21,15.82,0.18
3184.34,15.78,-0.04
3184.47,15.76,-0.02
3189.61,15.81,0.05
3189.63,15.81007233,7.23E-05
3222.79,15.93,0.119927667
3264.63,16.07,0.14
3264.65,16.07011869,0.000118694
3272.93,16.11925816,0.049139466
3278.11,16.15,0.03074184
3278.25,16.13,-0.02
3278.41,16.13,-4.55E-13
3301.39,16.31,0.18
3301.55,16.26,-0.05
3301.69,16.26,0
3326.25,16.41,0.15
3326.4,16.39,-0.02
3326.54,16.33,-0.06
3346.9,16.44,0.11
3347.05,16.44,0
3347.21,16.43,-0.01
3371.54,16.54,0.11
3371.69,16.56,0.02
3371.83,16.51,-0.05
3396,16.66,0.15
3396.14,16.62,-0.04
3396.29,16.61,-0.01
3421.18,16.75,0.14
3421.31,16.71,-0.04
3421.46,16.69,-0.02
3445.51,16.83,0.14
3445.66,16.81,-0.02
3445.81,16.8,-0.01
3470.7,16.9,0.1
3470.85,16.87,-0.03
3471,16.84,-0.03
3495.51,17,0.16
3495.66,17.01,0.01
3495.8,16.96,-0.05
3520.98,17.13,0.17
3521.12,17.06,-0.07
3521.27,17.05,-0.01
3546.6,17.2,0.15
3546.73,17.19,-0.01
3546.88,17.14,-0.05
3570.37,17.29,0.15
3570.52,17.21,-0.08
3570.69,17.23,0.02
3592.04,17.42,0.19
3592.19,17.39,-0.03
3592.33,17.33,-0.06
3616.17,17.5,0.17
3616.33,17.48,-0.02
3616.51,17.46,-0.02
3641.53,17.57,0.11
3641.68,17.58,0.01
3641.87,17.56,-0.02
3666.49,17.67,0.11
3666.71,17.67,4.55E-13
3666.92,17.66,-0.01
3691.02,17.74,0.08
3691.25,17.79,0.05
3691.44,17.73,-0.06
3692.65,17.77,0.04
3716.48,17.88,0.11
3716.71,17.88,0
3716.92,17.89,0.01
3741.81,17.99,0.1
3742.03,17.99,4.55E-13
3742.22,17.95,-0.04
3766.74,18.06,0.11
3766.95,18.06,0
3767.16,18.06,0
3791.33,18.18,0.12
3791.54,18.14,-0.04
3791.76,18.15,0.01
3814.11,18.28,0.13
3820.64,18.32,0.04
3841.6,18.43,0.11
3841.81,18.4,-0.03
3842.03,18.43,0.03
3861.57,18.51,0.08
3866.84,18.54,0.03
3890.36,18.66,0.12
3890.58,18.66,-4.55E-13
3890.8,18.65,-0.01
3915.39,18.81,0.16
3915.62,18.77,-0.04
3915.82,18.76,-0.01
3940.86,18.9,0.14
3941.1,18.93,0.03
3941.33,18.95,0.02
3966.17,19.11,0.16
3966.42,19.14,0.03
3966.61,19.06,-0.08
3983.62,19.22786184,0.167861842
3990.93,19.3,0.072138158
3991.14,19.25,-0.05
3991.39,19.26,0.01
4011.99,19.39,0.13
4023.93,19.51,0.12
4046.15,19.63,0.12
4060.04,19.55,-0.08
4062.29,19.72,0.17
4062.52,19.75,0.03
4062.78125,19.75125,0.00125
4062.75,19.75110048,-0.000149522
4068.609135,19.77913462,0.028034137
4068.47,19.7784689,-0.000665716
4087.348798,19.86879808,0.090329177
4087.38,19.86894737,0.000149291
4087.6,19.87,0.001052632
4087.82,19.86,-0.01
4112.68,20,0.14
4112.93,20.02,0.02
4113.12,20.02,-4.55E-13
4136.19,20.17,0.15
4136.4,20.16,-0.01
4136.64,20.18,0.02
4161.37,20.32,0.14
4161.61,20.31,-0.01
4161.82,20.32,0.01
4185.44,20.47,0.15
4185.66,20.431,-0.039
4185.87,20.431,0
4210.36,20.58,0.149
4210.58,20.53,-0.05
4210.81,20.52,-0.01
4234.85,20.69,0.17
4235.09,20.71,0.02
4235.31,20.69,-0.02
4259.35,20.84,0.15
4259.58,20.83,-0.01
4259.81,20.831,0.001
4282.03,20.93,0.099
4282.27,20.93,9.09E-13
4282.440869,20.93086905,0.000869052
4282.49,20.93111894,0.000249884
4287.496583,20.95658278,0.02546384
4287.727759,20.95775855,0.001175777
4287.37,20.95593897,-0.001819586
4287.52,20.95670188,0.000762911
4287.948883,20.95888321,0.002181331
4287.95,20.95888889,5.68E-06
4307.598824,21.05882422,0.099935334
4307.63,21.05898279,0.000158562
4307.83,21.06,0.001017214
4308.05,21.05,-0.01
4329.75,21.18,0.13
4329.98,21.2,0.02
4330.19,21.17,-0.03
4354.24,21.36,0.19
4354.48,21.32,-0.04
4354.66,21.34,0.02
4378.98,21.47,0.13
4379.22,21.47,9.09E-13
