RC2-after,,
wcAi,DF,1st Diff
27714.16,-233.57,-0.14
27765.03,-233.82,-0.25
27816.08,-234.19,-0.37
27879.94,-234.66,-0.47
27943.7,-235.42,-0.76
28007.74,-235.76,-0.34
28071.59,-236.2,-0.44
28135.93,-236.48,-0.28
28180.48,-236.66,-0.18
28221.73,-236.95,-0.29
28285.73,-237.22,-0.27
28349.57,-237.63,-0.41
28413.11,-237.98,-0.35
28477.37,-238.23,-0.25
28541.21,-238.52,-0.29
28605.15,-238.88,-0.36
28669.03,-239.28,-0.4
28707.57,-239.54,-0.26
28748.93,-239.82,-0.28
28803.72,-240.05,-0.23
28852.94,-240.55,-0.5
28896.02,-240.7,-0.15
28952.6,-240.67,0.03
29001.64,-240.94,-0.27
29009.66,-240.97,-0.03
29015.98,-240.99,-0.02
29073.78,-241.45,-0.46
29119.65,-241.87,-0.42
29183.6,-242.27,-0.4
29247.3,-243,-0.73
29311.03,-243.66,-0.66
29374.93,-243.84,-0.18
29427.58,-244.07,-0.23
29491.64,-244.5,-0.43
29534.664,-244.7159975,-0.215997502
29528.23,-244.6836963,0.032301236
29555.38,-244.82,-0.136303734
29593.88,-245.03,-0.21
29634.74,-245.22,-0.19
29683.34,-245.61,-0.39
29734,-245.91,-0.3
29797.57,-246.34,-0.43
29860.63,-246.98,-0.64
29924.23,-247.35,-0.37
29987.5,-247.68,-0.33
30051.58,-248.13,-0.45
30115.32,-248.82,-0.69
30168.05,-249.31,-0.49
30182.29,-249.65,-0.34
30231.9,-249.88,-0.23
30295.72,-250.38,-0.5
30359.38,-251.19,-0.81
30422.96,-251.97,-0.78
30486.98,-252.31,-0.34
30499.66,-251.8,0.51
30550.89,-252.87,-1.07
30614.6,-253.5,-0.63
30678.2,-254.15,-0.65
30741.86,-254.6,-0.45
30805.91,-254.81,-0.21
30869.97,-255.25,-0.44
30933.87,-255.59,-0.34
30997.09,-256.03,-0.44
31060.66,-256.72,-0.69
31123.87,-257.41,-0.69
31187.34,-258.1,-0.69
31250.2,-258.86,-0.76
31293.42,-259.26,-0.4
31340.01,-259.47,-0.21
31403.92,-259.81,-0.34
31467.9,-260.16,-0.35
31531.74,-260.49,-0.33
31594.94,-260.84,-0.35
31658.85,-261.31,-0.47
31722.66,-261.7,-0.39
31786.47,-262.07,-0.37
31850.39,-262.55,-0.48
31913.36,-263.37,-0.82
31977.03,-264.08,-0.71
32030.09,-264.31,-0.23
32084.43,-264.7,-0.39
32143.94,-265.22,-0.52
32207.96,-265.45,-0.23
32271.93,-265.99,-0.54
32335.08,-266.46,-0.47
32398.56,-266.7,-0.24
32448.3,-266.72,-0.02
32511.62,-266.92,-0.2
32574.87,-267.41,-0.49
32638.02,-267.93,-0.52
32702.04,-268.3,-0.37
32765.32,-268.69,-0.39
32829.14,-269.07,-0.38
32892.36,-269.5,-0.43
32956.29,-269.75,-0.25
33019.81,-270.18,-0.43
33083.77,-270.13,0.05
33147.09,-270.35,-0.22
33210.97,-271.02,-0.67
33275.08,-271.43,-0.41
33338.91,-271.96,-0.53
33402.54,-272.8,-0.84
33466.4,-273.34,-0.54
33530.18,-273.84,-0.5
33593.97,-274.48,-0.64
33657.18,-274.94,-0.46
33721.08,-275.57,-0.63
33784.84,-276.16,-0.59
33838.91,-276.47,-0.31
33903,-276.69,-0.22
33966.66,-277.08,-0.39
34030.36,-277.65,-0.57
34093.96,-278.47,-0.82
34157.73,-279.14,-0.67
34221.63,-279.49,-0.35
34285.25,-280.37,-0.88
34349.01,-280.96,-0.59
