RC3-before,,
wcAi,Distortion,1st Ord Diff
14209.42,-7.79,-0.06
14246.69,-7.78,0.01
14283.95,-7.8,-0.02
14321.17,-7.86,-0.06
14361.45,-7.89,-0.03
14379.67,-7.88,0.01
14401.7,-7.87,0.01
14441.96,-7.9,-0.03
14482.26,-7.88,0.02
14519.5,-7.91,-0.03
14556.74,-7.95,-0.04
14596.99,-7.96,-0.01
14637.3,-7.96,0
14677.6,-7.98,-0.02
14717.87,-8.01,-0.03
14758.12,-8.08,-0.07
14798.45,-8.04,0.04
14834.65,-8.1,-0.06
14835.7,-8.1,1.82E-12
14836.81,-8.1,-1.82E-12
14873,-8.08,0.02
14913.27,-8.1,-0.02
14934.61,-8,0.1
14934.63,-8,0
14953.34,-8.2,-0.2
14953.74366,-8.196343693,0.003656307
14957.9215,-8.158500914,0.037842779
14953.36,-8.199818841,-0.041317927
14966.29,-11.14,-2.940181159
14980.54,-7.953623188,3.186376812
14980.94,-7.95,0.003623188
14980.96,-7.95,-1.82E-12
14999.8,-8.37,-0.42
15020.9,-8.48,-0.11
15065.7,-8.92,-0.44
15110.65,-9.24,-0.32
15155.75,-9.35,-0.11
15200.41,-9.53,-0.18
15245.6,-9.65,-0.12
15290.75,-9.8,-0.15
15335.9,-9.92,-0.12
15381.12,-10.05,-0.13
15426.27,-10.14,-0.09
15471.54,-10.18,-0.04
15516.68,-10.32,-0.14
15561.9,-10.44,-0.12
15607.1,-10.54,-0.1
15652.34,-10.66,-0.12
15697.54,-10.82,-0.16
15742.76,-10.96,-0.14
15787.97,-11.12,-0.16
15833.18,-11.27,-0.15
15878.38,-11.49,-0.22
15923.6,-11.69,-0.2
15968.85,-11.85,-0.16
16014.02,-12.08,-0.23
16059.24,-12.28,-0.2
16104.51,-12.42,-0.14
16149.79,-12.54,-0.12
16182.91,-13.35,-0.81
16183.5,-12.9,0.45
16188.12516,-12.85483565,0.045164354
16183.52,-12.8998047,-0.044969055
16197.76,-5.85,7.049804702
16210.52,-12.6361519,-6.786151899
16211.15,-12.63,0.006151899
16211.17,-12.63,1.82E-12
16226.55,-13.47,-0.84
16255.45,-13.99,-0.52
16286.92,-14.34,-0.35
16294.9,-14.43,-0.09
16297.81,-14.32,0.11
16300.53,-14.21,0.11
